Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,44.070000,44.070000,43.650002,43.810001,42.186695,61900
2019-12-10,43.869999,44.209999,43.570000,44.139999,42.504471,59200
2019-12-11,44.310001,44.410000,44.040001,44.209999,42.571873,51100
2019-12-12,44.340000,45.320000,44.240002,45.070000,43.400009,98600
2019-12-13,45.040001,45.110001,44.279999,44.709999,43.053341,37000
2019-12-16,44.919998,45.380001,44.869999,45.049999,43.380749,36700
2019-12-17,45.220001,45.680000,45.119999,45.599998,43.910370,45200
2019-12-18,45.919998,46.279999,45.509998,46.119999,44.411102,39200
2019-12-19,45.970001,46.389999,45.810001,46.330002,44.613327,73400
2019-12-20,46.340000,47.000000,46.169998,46.820000,45.085163,184500
2019-12-23,46.820000,46.820000,45.970001,46.270000,44.555546,61000
2019-12-24,46.410000,46.410000,45.880001,46.200001,44.488144,24700
2019-12-26,46.230000,46.419998,46.070000,46.150002,44.439995,25400
2019-12-27,46.220001,46.220001,45.799999,46.110001,44.401478,36900
2019-12-30,46.250000,46.439999,45.919998,46.250000,44.536285,30300
2019-12-31,46.290001,46.520000,45.959999,46.060001,44.353333,40400
2020-01-02,46.299999,46.299999,45.369999,46.049999,44.343697,52400
2020-01-03,45.590000,46.160000,45.259998,45.820000,44.122215,54300
2020-01-06,45.549999,45.869999,45.020000,45.650002,43.958515,36400
2020-01-07,45.430000,45.619999,45.080002,45.439999,43.756298,58400
2020-01-08,45.490002,46.200001,45.090000,46.000000,44.295551,44300
2020-01-09,46.150002,46.189999,45.480000,45.599998,43.910370,40400
2020-01-10,45.560001,45.759998,45.290001,45.619999,43.929626,38900
2020-01-13,45.669998,46.919998,45.130001,46.650002,44.921467,76700
2020-01-14,46.259998,46.320000,45.810001,46.209999,44.814785,60100
2020-01-15,46.060001,46.259998,45.810001,46.160000,44.766296,56100
2020-01-16,46.389999,46.799999,46.189999,46.689999,45.280289,30300
2020-01-17,46.919998,46.919998,46.430000,46.590000,45.183311,47100
2020-01-21,46.410000,46.500000,46.029999,46.279999,44.882671,44400
2020-01-22,46.349998,46.490002,46.180000,46.349998,44.950558,37200
2020-01-23,46.209999,46.349998,46.020000,46.310001,44.911766,59600
2020-01-24,46.189999,46.360001,46.000000,46.209999,44.814785,41800
2020-01-27,45.700001,46.270000,45.650002,46.070000,44.679016,32400
2020-01-28,46.849998,47.160000,46.639999,46.869999,45.454857,48400
2020-01-29,46.990002,47.330002,46.730000,47.150002,45.726406,56000
2020-01-30,46.939999,47.740002,46.939999,47.610001,46.172516,73000
2020-01-31,47.400002,47.590000,47.110001,47.259998,45.833084,92200
2020-02-03,47.150002,47.849998,47.150002,47.590000,46.153118,79000
2020-02-04,48.000000,48.000000,47.480000,47.810001,46.366478,48900
2020-02-05,47.840000,48.230000,47.840000,48.160000,46.705906,122900
2020-02-06,48.250000,48.480000,47.669998,47.740002,46.298592,77100
2020-02-07,47.470001,47.910000,47.389999,47.570000,46.133724,33700
2020-02-10,47.549999,47.680000,47.029999,47.279999,45.852478,31300
2020-02-11,47.529999,47.740002,47.240002,47.270000,45.842785,35900
2020-02-12,47.540001,47.570000,47.060001,47.369999,45.939758,34400
2020-02-13,47.369999,47.689999,47.000000,47.689999,46.250099,26500
2020-02-14,47.529999,47.750000,46.990002,47.049999,45.629421,34100
2020-02-18,46.939999,47.419998,46.520000,46.810001,45.396667,34500
